julday,date_time,V_ugal,vert_mm,areal_mm,WDD_tam,potential,dilation_ppb,wl_ft
2456444.0625,5/31/2013 13:30,10.463674325608462,-17.704536958929516,-80.48658291258029,96.09518625212264,3332.138070683994,3.9924524641651815,4429.03
2456444.1041666665,5/31/2013 14:30,1.1736077275832186,-1.9857442750708059,-9.027390640570118,3.7863379547533356,373.28143283935947,0.44725308384042767,4429.03
2456444.1458333335,5/31/2013 15:30,-10.494758166991362,17.757130818549385,80.72567982049756,-112.15399528994449,-3343.0559599733906,-4.005533459976327,4429.03
2456444.1875,5/31/2013 16:30,-21.39717289765813,36.20401654283756,164.58705392878633,-220.48361131896715,-6815.4403453797995,-8.166023973081932,4429.02
2456444.2291666665,5/31/2013 17:30,-28.384481265641934,48.02654230146616,218.33342989531775,-289.91157303931254,-9040.875817464674,-10.832463555073703,4429.02
2456444.2708333335,5/31/2013 18:30,-29.03144926388993,49.121212154501755,223.3099077378413,-296.3400383439877,-9246.933065374613,-11.079354201365334,4429.02
2456444.3125,5/31/2013 19:30,-22.20180963596467,37.56546190405221,170.77631971984025,-228.47871983913822,-7071.714585082025,-8.473082876904778,4429.03
2456444.3541666665,5/31/2013 20:30,-8.356528952115852,14.139246986980021,64.27842069967514,-90.90791765010255,-2662.0367617888937,-3.1895598813606156,4429.04
2456444.3958333335,5/31/2013 21:30,10.448927741985155,-17.67958573943888,-80.37315219134982,95.94865983745976,3327.4413307436557,3.986824993299218,4429.05
2456444.4375,5/31/2013 22:30,30.892885094364356,-52.27076157966449,-237.6280721458506,299.08586428331444,9838.776667000355,11.788481114090303,4429.06
2456444.4791666665,5/31/2013 23:30,49.00840882098163,-82.92222772510091,-376.97268065099064,479.08706382941534,15608.513305694345,18.701579401621803,4429.08
2456444.5208333335,6/1/2013 0:30,61.005317305579354,-103.22099688104026,-469.25290071451644,598.2918933811814,19429.49046756013,23.27974168675003,4429.08
2456444.5625,6/1/2013 1:30,64.1385315190727,-108.522395330271,-493.3535844447072,629.4244361315205,20427.40922040896,24.475413318475734,4429.08
2456444.6041666665,6/1/2013 2:30,57.42052322548539,-97.15552529752128,-441.67866465043363,562.6723195681108,18287.744964740283,21.911741832578645,4429.08
2456444.6458333335,6/1/2013 3:30,41.97188491964937,-71.01642928404674,-322.84773880194297,409.17008201929985,13367.402842908748,16.016358589539994,4429.07
