xlday,wl,bp,wl_std,bp_std,dbp,dwl,dt,modeled_y_bp,modWL
41724.720833333209,0.132376208,-0.087109911999999998,0.30081826325735472,-1.2614737787947765,0.00063238599999999867,0.0053676139999999928,-0.8620865579978627,0.00084211343241203578,0.00092327938233898853
41724.722222222015,0.127008594,-0.087742297999999996,0.027931360917996747,-1.2725134502150646,0.00067318500000000669,0.0053268149999999986,-0.8752746769033664,0.00013433988547209065,0.00018349018223770769
41724.723611111287,0.121681779,-0.088415483000000003,-0.24288133997383873,-1.2842653568117739,0.00046918999999999433,-0.012469189000000006,-0.8882823941166436,-0.0014642498995142727,-0.001676892689123488
41724.725000000093,0.13415096800000001,-0.088884672999999997,0.39104620416290481,-1.2924560875263769,-0.00021419500000000036,0.0062141950000000057,-0.9011057182325857,-0.00019722822560145733,-0.00021704897259877329
41724.726388888899,0.127936773,-0.088670477999999997,0.075119532818294268,-1.2887168484858722,0.00042839000000000071,-0.00042839000000000071,-0.9137407028422402,6.8238164914560042e-05,0.0002269647497070296
41724.727777777705,0.128365163,-0.089098867999999998,0.096898673437041796,-1.2961953265668815,-0.00062320600000000115,0.0066232060000000065,-0.9261834488465084,-0.0005106598309568849,-0.00071574474713778993
41724.729166666511,0.121741957,-0.088475661999999997,-0.23982191952948928,-1.2853159119891522,0.0006119860000000088,-0.0066119869999999997,-0.9384301046522765,-0.00011457963395238071,-0.00018642166829201719
41724.730555555783,0.128353944,-0.089087648000000005,0.096328304897622397,-1.2959994570926434,0.00016421699999999428,-0.00016421599999999481,-0.9504768674385602,0.00071242349086662003,0.00059219514263373751
41724.731944444589,0.12851815999999999,-0.089251865,0.10467696699488921,-1.2988662215713407,-0.00013259699999999819,0.00013259699999998431,-0.9623199845759771,-0.00059479624679763764,-0.00051138737946714898
41724.733333333395,0.12838556300000001,-0.089119268000000001,0.097935799580561797,-1.2965514528836786,-2.0400000000003748e-05,2.0400000000003748e-05,-0.9739557542751633,-0.0018381323510496686,-0.001897127153890195
41724.734722222202,0.128365163,-0.089098867999999998,0.096898673437041796,-1.2961953265668815,6.1198999999997894e-05,-0.0060611989999999893,-0.9853805261944757,-0.00011493578367335934,-0.00016634377045008936
41724.736111111008,0.13442636199999999,-0.089160066999999996,0.40504710206332034,-1.2972636880600996,0.00029477299999999818,0.0057052270000000072,-0.9965907034750181,0.0015037691752890418,0.0016731552105627972
41724.737499999814,0.12872113499999999,-0.089454839999999994,0.11499611792532677,-1.302409591137607,0.00012341700000000067,-0.00012341800000001402,-1.0075827425422972,-3.9424919610355212e-05,-0.00037848453526077765
41724.738888889086,0.128844553,-0.089578256999999994,0.1212706294145886,-1.3045641029827106,9.1800000000114013e-06,-0.0060091800000000029,-1.0183531550197245,0.0012282121999449311,0.0012712593895840693
41724.740277777892,0.134853733,-0.089587437000000006,0.42677443721440916,-1.3047243598252694,-0.00049978900000000048,0.012499788999999997,-1.0288985080086022,-0.00011900807630228069,-0.00010287480694887597
41724.741666666698,0.12235394400000001,-0.089087648000000005,-0.20870879613761364,-1.2959994570926434,-0.00075376300000000451,-0.0052462360000000013,-1.0392154254080452,-0.00038392465843129701,-0.00042387825003494754
41724.743055555504,0.12760018000000001,-0.088333885000000001,0.058007307326835574,-1.2828408864589314,-0.00032639299999999427,-0.0056736079999999967,-1.0493005885233195,0.001200719239542603,0.0013008014934541862
41724.74444444431,0.133273788,-0.088007492000000007,0.34645079678188972,-1.277142987590389,-4.1819000000012374e-05,0.0060418190000000038,-1.05915073746554,-0.0016167962131008612,-0.0018854637693396419
41724.745833333116,0.127231969,-0.087965672999999994,0.039287637991954297,-1.2764129460981277,-0.00037637100000000034,0.0003763720000000137,-1.0687626714109761,0.001897683222246529,0.0020214570949220823
41724.747222222388,0.12685559699999999,-0.087589301999999994,0.020153067360147929,-1.2698425726677778,-0.00011219799999999391,-0.0058878020000000253,-1.0781332498991638,0.00026234389502857096,6.3438787978240679e-05
