,,A2 O1,A2 M2,Phase Shift O1,Phase Shift M2,Phase Shift O1,Phase Shift M2,Transmissivity M2,Transmissivity O1,Specific Storage,,Phase WL O1,Phase Tide O1,Phase WL M2,Phase Tide M2,,,,,Regression of phase function,,
,,ft²/s2,ft²/s3,degrees,degrees,hours,hours,sq ft/day,sq ft/day,1/ft,1/ft,degrees,degrees,degrees,degrees,,,,,,,
wellid,well,tidal_pot_O1,tidal_pot_M2,phs_shft_O1,phs_shft_M2,phs_sft_O1_hr,phs_sft_M2_hr,Trans_M2,Trans_O1,Ss_O1,Ss_M2,phs_WL_O1,phs_td_O1,phs_WL_M2,phs_td_M2,amp_WL_O1,amp_td_O1,amp_WL_M2,amp_td_M2,be_est,early_slope,response_type
,,,,,,,,,,,,,,,,,,,,,,
BLM,BLM-1,10.225777506945075,16.69779193193975,-251.77534430704586,233.22868310255978,-18.058120445188873,8.0462527807410407,-62.181674693279277,10.698582745667725,9.801094222639054e-08,1.354740437568819e-07,-92.734424428845585,159.04091987820027,171.27672884368943,-61.951954258870344,0.072583464138308,15.537921325694416,0.08574698681339868,21.14833282691922,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,-251.77534430704586,233.22868310255978,-18.058120445188873,8.0462527807410407,-62.181674693279277,10.698582745667725,9.801094222639054e-08,1.354740437568819e-07,-92.734424428845585,159.04091987820027,171.27672884368943,-61.951954258870344,0.072583464138308,15.537921325694416,0.08574698681339868,21.14833282691922,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,251.77534430704586,-233.22868310255978,18.058120445188873,-8.0462527807410407,56.410423585051326,-14.705606477750477,9.801094222639054e-08,1.354740437568819e-07,92.734424428845585,-159.04091987820027,-171.27672884368943,61.951954258870344,0.072583464138308,15.537921325694416,0.08574698681339868,21.14833282691922,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,-108.22495977220241,-53.22853106293563,-7.7622348769734568,-1.8363531036685168,289.71563092339414,28.237827045145512,9.801094222639054e-08,1.354740437568819e-07,-87.265727610778555,20.959232161423852,8.7234231959347106,61.951954258870344,0.072583464138308,15.537921325694416,0.08574698681339868,21.14833282691922,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,-108.22495977220241,-53.22853106293563,-7.7622348769734568,-1.8363531036685168,289.71563092339414,28.237827045145512,9.801094222639054e-08,1.354740437568819e-07,-87.265727610778555,20.959232161423852,8.7234231959347106,61.951954258870344,0.072583464138308,15.537921325694416,0.08574698681339868,21.14833282691922,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,-251.77534430704586,233.22868310255978,-18.058120445188873,8.0462527807410407,-62.181674693279277,10.698582745667725,9.801094222639054e-08,1.354740437568819e-07,-92.734424428845585,159.04091987820027,171.27672884368943,-61.951954258870344,0.072583464138308,15.537921325694416,0.08574698681339868,21.14833282691922,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,-108.22495977220241,126.77162097668852,-7.7622348769734568,4.3735465734040062,-108.36239121816571,28.237827045145512,9.801094222639054e-08,1.354740437568819e-07,-87.265727610778555,20.959232161423852,8.7234231959347106,-118.04819778075381,0.072583464138308,15.537921325694416,0.08574698681339868,21.14833282691922,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,108.22495977220241,-126.77162097668852,7.7622348769734568,-4.3735465734040062,110.1929542095786,-30.899915782266945,9.801094222639054e-08,1.354740437568819e-07,-2.7343484090335157,-110.95930818123593,-98.723499215746784,28.048121760941736,0.072583464138308,15.537921325694416,0.08574698681339868,21.14833282691922,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,108.22495977220241,-126.77162097668852,7.7622348769734568,-4.3735465734040062,110.1929542095786,-30.899915782266945,9.801094222639054e-08,1.354740437568819e-07,-2.7343484090335157,-110.95930818123593,-98.723499215746784,28.048121760941736,0.072583464138308,15.537921325694416,0.08574698681339868,21.14833282691922,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,-71.775192260624095,53.228530922225133,-5.1479427836201612,1.8363530988140873,-236.80719358486803,44.346378976952735,9.801094222639054e-08,1.354740437568819e-07,-2.7343484090335157,69.04084385159058,-98.723499215746784,-151.95203013797192,0.072583464138308,15.537921327496358,0.08574698681339868,21.14833283938471,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,-71.775192260624095,53.228530922225133,-5.1479427836201612,1.8363530988140873,-236.80719358486803,44.346378976952735,9.801094222639054e-08,1.354740437568819e-07,-2.7343484090335157,69.04084385159058,-98.723499215746784,-151.95203013797192,0.072583464138308,15.537921327496358,0.08574698681339868,21.14833283938471,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,108.22495973431836,-126.77161988156266,7.7622348742562925,-4.3735465356228067,110.19295525154992,-30.899915792057573,9.801094222639054e-08,1.354740437568819e-07,-2.7343484090335157,-110.95930814335188,-98.723499215746784,28.04812066581588,0.072583464138308,40.71656018828861,0.08574698681339868,55.418439808333005,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,-71.775192251667534,53.228531493222562,-5.1479427829777684,1.8363531185131636,-236.80719135460402,44.346378983009018,9.801094222639054e-08,1.354740437568819e-07,-2.7343484090335157,69.040843842634018,-98.723499215746784,-151.95203070896935,0.072583464138308,40.716560186753284,0.08574698681339868,55.41844026959059,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,108.22495809387664,-126.77162035206567,7.762234756598648,-4.3735465518548846,110.19295480388388,-30.899916216007785,9.801094222639054e-08,1.354740437568819e-07,-2.7343484090335157,-110.95930650291015,-98.723499215746784,28.048121136318887,0.072583464138308,40.4571779842725,0.08574698681339868,55.06540014218514,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,108.22495977220241,-126.77162097668852,7.7622348769734568,-4.3735465734040062,110.1929542095786,-30.899915782266945,9.801094222639054e-08,1.354740437568819e-07,-2.7343484090335157,-110.95930818123593,-98.723499215746784,28.048121760941736,0.072583464138308,15.537921325694416,0.08574698681339868,21.14833282691922,0.60937395242799264,0.01099178542318211,borehole storage
